Variable Label,Risk,Cluster Labels,Cluster Name,Thresh1,Thresh2,Thresh3,Thresh4,Domain,Topic,Variable Name,age,min,max,gender,male,race,American Indian and Alaska Native,Asian,Black or African American,Hispanic or Latino,Two or more races,Native Hawaiian and other Pacific Islander,White,Some other race,Score,county,zip,census,nonveteran,veterans,weight,veteran_status
Percentage of civilian nonveterans with income below the poverty level in the past 12 months (between ages 18 and 64),financial Risk,1,Income,0.0,10.47,19.82,100.0,2. Economic context,Poverty,ACS_PCT_NONVET_POV_18_64,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,Yes,No,1.0,-1
Percentage of children with income to poverty ratio under 0.50  (ages 17 and below),financial Risk,1,Income,0.0,4.26,13.69,100.0,2. Economic context,Income,ACS_PCT_INC50_BELOW17,Yes,0.0,17.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
"Total number of Marketplace enrollees, household income >300% to 400% of FPL",financial Risk,1,Income,12349.0,572.0,96.0,0.0,5. Healthcare context,Health insurance status,AHRF_MARKET_ENROL_400,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of Marketplace enrollees, household income >250% to 300% of FPL",financial Risk,1,Income,11799.0,464.0,85.0,0.0,5. Healthcare context,Health insurance status,AHRF_MARKET_ENROL_300,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of Marketplace enrollees, household income >150% to 200% of FPL",financial Risk,1,Income,0.0,932.0,5697.0,67040.0,5. Healthcare context,Health insurance status,AHRF_MARKET_ENROL_200,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Total number of Marketplace enrollees, household income >200% to 250% of FPL",financial Risk,1,Income,27716.0,723.0,129.0,0.0,5. Healthcare context,Health insurance status,AHRF_MARKET_ENROL_250,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of Marketplace enrollees, household income 100% to 150% of FPL",financial Risk,1,Income,0.0,933.0,7201.0,328412.0,5. Healthcare context,Health insurance status,AHRF_MARKET_ENROL_150,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Per capita Medicare post acute care standardized payment,financial Risk,3,Medicare Utilization,10336.94,1585.33,1180.37,0.0,5. Healthcare context,Utilization and costs,MGV_PER_CAPITA_STD_PA,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Per capita Medicare post acute care actual payment,financial Risk,3,Medicare Utilization,9058.93,1523.47,1125.78,0.0,5. Healthcare context,Utilization and costs,MGV_PER_CAPITA_ACTUAL_PA,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Per capita Medicare inpatient standardized payment,financial Risk,3,Medicare Utilization,9412.05,2679.22,2292.72,797.63,5. Healthcare context,Utilization and costs,MGV_PER_CAPITA_STD_IP,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total Medicare inpatient days, short-term general hospitals",financial Risk,3,Medicare Utilization,0.0,71106.0,322873.0,2091005.0,5. Healthcare context,Utilization and costs,AHRF_TOT_MCR_IP_DAY_ST_G,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Per capita Medicare outpatient standardized payment,financial Risk,3,Medicare Utilization,10774.33,1671.15,1314.59,368.8,5. Healthcare context,Utilization and costs,MGV_PER_CAPITA_STD_OP,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Per capita Medicare inpatient actual payment,financial Risk,3,Medicare Utilization,11196.82,3237.79,2722.5,1246.15,5. Healthcare context,Utilization and costs,MGV_PER_CAPITA_ACTUAL_IP,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Per capita Medicare outpatient actual payment,financial Risk,3,Medicare Utilization,11136.86,1656.79,1365.52,385.95,5. Healthcare context,Utilization and costs,MGV_PER_CAPITA_ACTUAL_OP,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Per capita Medicare E&M standardized payment,financial Risk,3,Medicare Utilization,1583.4,908.91,709.82,235.02,5. Healthcare context,Utilization and costs,MGV_PER_CAPITA_STD_EM,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Per capita Medicare FQHC/RHC standardized payment,financial Risk,3,Medicare Utilization,1260.51,24.41,8.6,0.0,5. Healthcare context,Utilization and costs,MGV_PER_CAPITA_STD_HC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Per capita Medicare E&M actual payment,financial Risk,3,Medicare Utilization,1669.11,888.13,686.84,235.84,5. Healthcare context,Utilization and costs,MGV_PER_CAPITA_ACTUAL_EM,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Per capita Medicare FQHC/RHC actual payment,financial Risk,3,Medicare Utilization,1116.98,23.66,8.43,0.0,5. Healthcare context,Utilization and costs,MGV_PER_CAPITA_ACTUAL_HC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total standardized Medicare costs, fee for service (dollars)",financial Risk,3,Medicare Utilization,61283.31,263937959.76,961504454.17,7511189643.24,5. Healthcare context,Utilization and costs,AHRF_TOT_MDCR_FFS_STD_COST,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Total actual Medicare costs, fee for service (dollars)",financial Risk,3,Medicare Utilization,57322.61,270351966.86,1125661962.61,9270137075.01,5. Healthcare context,Utilization and costs,AHRF_TOT_MDCR_FFS_ACT_COST,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Total Medicaid inpatient days, short-term general hospitals",financial Risk,3,Medicare Utilization,0.0,26312.0,175640.0,1150754.0,5. Healthcare context,Utilization and costs,AHRF_TOT_MDCD_IP_DAY_ST_G,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Percentage of households with no internet access,Technology Access Risk,0,Internet/Cellular Data Unavailability,0.0,12.89,21.61,100.0,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_NO_INTERNET,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Percentage of households with internet access without a subscription,Technology Access Risk,0,Internet/Cellular Data Unavailability,100.0,1.96,0.64,0.0,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_INTERNET_NO_SUBS,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of households with a cellular data plan with no other type of internet subscription,Technology Access Risk,0,Internet/Cellular Data Unavailability,0.0,11.11,17.94,100.0,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_CELLULAR_ONLY,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Percentage of households with dial up and no other type of internet subscription,Technology Access Risk,0,Internet/Cellular Data Unavailability,0.0,0.0,1.01,44.44,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_DIAL_INTERNET_ONLY,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Percentage of households with any internet subscription,Technology Access Risk,0,Internet/Cellular Data Unavailability,100.0,84.32,75.02600000000002,0.0,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_INTERNET,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of households with satellite internet service,Technology Access Risk,0,Internet/Cellular Data Unavailability,100.0,6.33,3.01,0.0,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_SAT_INTERNET,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
"Percentage of households with broadband such as cable, fiber optic or DSL with no other type of Internet subscription",Technology Access Risk,0,Internet/Cellular Data Unavailability,0.0,7.76,12.28,100.0,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_BROADBAND_ONLY,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Percentage of households with broadband of any type,Technology Access Risk,0,Internet/Cellular Data Unavailability,100.0,83.86,74.56,0.0,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_BROADBAND_ANY,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of households with a tablet or other portable wireless computer with no other type of computing device,Technology Access Risk,1,Electronic Device Unavailability,0.0,0.72,1.78,57.41,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_TABLET_ONLY,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Percentage of households with a smartphone with no other type of computing device,Technology Access Risk,1,Electronic Device Unavailability,0.0,7.78,14.41,100.0,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_SMARTPHONE_ONLY,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Percentage of households with a tablet or other portable wireless computer,Technology Access Risk,1,Electronic Device Unavailability,100.0,58.6,47.62,0.0,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_TABLET,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of households with a smartphone,Technology Access Risk,1,Electronic Device Unavailability,100.0,81.68,73.14,0.0,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_SMARTPHONE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of households with other type of computer only,Technology Access Risk,1,Electronic Device Unavailability,13.35,0.64,0.0,0.0,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_OTHER_COMP_ONLY,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of households with a desktop or laptop with no other type of computing device,Technology Access Risk,1,Electronic Device Unavailability,100.0,4.99,2.71,0.0,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_PC_ONLY,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of households without a computing device,Technology Access Risk,1,Electronic Device Unavailability,0.0,8.71,15.22,100.0,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_NO_COMP_DEV,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,No,No,1.0,0
Percentage of households with other type of computer,Technology Access Risk,1,Electronic Device Unavailability,100.0,1.8,0.67,0.0,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_OTHER_COMP,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of households with a desktop or laptop,Technology Access Risk,1,Electronic Device Unavailability,100.0,76.33,63.53,0.0,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_PC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Percentage of households with a cellular data plan,Technology Access Risk,1,Electronic Device Unavailability,100.0,73.01,61.57,0.0,4. Physical infrastructure,Internet connectivity,ACS_PCT_HH_CELLULAR,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,1.0,No,No,1.0,0
Total number of substance abuse facilities offering HIV testing and accept Medicaid,Social Environmental Risk,0,Substance Abuse Treatment Facilities,111.0,11.0,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_MEDHIVTFAC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of substance abuse facilities offering both HIV test and hepatitis C screening and accept Medicaid,Social Environmental Risk,0,Substance Abuse Treatment Facilities,96.0,10.0,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_MEDHIVHCVTFAC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of substance abuse facilities offering both HIV test and hepatitis C screening and accept Medicaid per 1,000 population",Social Environmental Risk,0,Substance Abuse Treatment Facilities,0.5112,0.0152,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_MEDHIVHCVTFAC_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of substance abuse facilities offering hepatitis C screening and accept Medicaid,Social Environmental Risk,0,Substance Abuse Treatment Facilities,97.0,11.0,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_MEDHCVTFAC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of substance abuse facilities offering both HIV test and hepatitis C screening,Social Environmental Risk,0,Substance Abuse Treatment Facilities,111.0,13.0,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_HIVHCVTFAC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of substance abuse facilities offering HIV testing and accept Medicaid per 1,000 population",Social Environmental Risk,0,Substance Abuse Treatment Facilities,0.5112,0.017,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_MEDHIVTFAC_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of substance abuse facilities offering hepatitis C screening and accept Medicaid per 1,000 population",Social Environmental Risk,0,Substance Abuse Treatment Facilities,0.5112,0.0173,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_MEDHCVTFAC_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of substance abuse facilities offering both HIV test and hepatitis C screening per 1,000 population",Social Environmental Risk,0,Substance Abuse Treatment Facilities,0.5112,0.0185,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_HIVHCVTFAC_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of substance abuse facilities offering HIV testing per 1,000 population",Social Environmental Risk,0,Substance Abuse Treatment Facilities,0.5112,0.0207,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_HIVTFAC_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of substance abuse treatment facilities with all three medication assisted treatment services per 1,000 population",Social Environmental Risk,0,Substance Abuse Treatment Facilities,0.1588,0.0038,0.0,0.0,,,AMFAR_AMATFAC_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of substance abuse facilities offering HIV testing,Social Environmental Risk,0,Substance Abuse Treatment Facilities,133.0,15.0,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_HIVTFAC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of substance abuse facilities offering hepatitis C screening per 1,000 population",Social Environmental Risk,0,Substance Abuse Treatment Facilities,0.5112,0.0212,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_HCVTFAC_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of substance abuse facilities offering hepatitis C screening,Social Environmental Risk,0,Substance Abuse Treatment Facilities,118.0,13.0,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_HCVTFAC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of substance abuse services facilities accepting Medicaid per 1,000 population",Social Environmental Risk,0,Substance Abuse Treatment Facilities,1.0127,0.0293,0.0117,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_MEDSAFAC_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of substance abuse treatment facilities with all three medication assisted treatment services,Social Environmental Risk,0,Substance Abuse Treatment Facilities,19.0,3.0,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_AMATFAC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of substance abuse services facilities accepting Medicaid,Social Environmental Risk,0,Substance Abuse Treatment Facilities,215.0,7.0,1.0,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_MEDSAFAC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of substance abuse treatment facilities offering all three medication assisted treatment services that accept Medicaid per 1,000 population",Social Environmental Risk,0,Substance Abuse Treatment Facilities,0.1588,0.0038,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_MEDAMATFAC_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of substance abuse treatment facilities offering all three medication assisted treatment services that accept Medicaid,Social Environmental Risk,0,Substance Abuse Treatment Facilities,19.0,3.0,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_MEDAMATFAC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of social associations per 1,000 people",Social Environmental Risk,1,Social Associations,5.54,0.95,0.67,0.1,4. Physical infrastructure,Social services,CCBP_SA_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of social associations,Social Environmental Risk,1,Social Associations,322.0,17.0,6.0,3.0,4. Physical infrastructure,Social services,CCBP_TOT_SA,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,1.0,0.0,No,No,0.9,0
"Total number of facilities that provide mental health services per 1,000 population",Social Environmental Risk,2,Mental Health,1.5699,0.03,0.016,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_MHFAC_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of Community Mental Health Centers per 1,000 population",Social Environmental Risk,2,Mental Health,0.4,0.02,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,POS_CMHC_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of facilities that provide mental health services and accept Medicaid per 1,000 population",Social Environmental Risk,2,Mental Health,1.5699,0.027,0.0122,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_MEDMHFAC_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of facilities that provide mental health services and accept Medicaid,Social Environmental Risk,2,Mental Health,175.0,7.0,1.0,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_MEDMHFAC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of facilities that provide mental health services,Social Environmental Risk,2,Mental Health,231.0,8.0,1.0,0.0,5. Healthcare context,Characteristics of health care facilities,AMFAR_TOT_MHFAC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Total number of Community Mental Health Centers,Social Environmental Risk,2,Mental Health,188.0,4.0,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,POS_TOT_CMHC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of hospitals with alcohol and/or drug abuse inpatient care per 1,000 population",Social Environmental Risk,3,Alcohol/Drug Abuse,1.0,0.01,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,POS_HOSP_ALC_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
Percentage of driving deaths involving alcohol,Social Environmental Risk,3,Alcohol/Drug Abuse,0.0,27.19,33.33,100.0,5. Healthcare context,Health Outcomes,CHR_PCT_ALCOHOL_DRIV_DEATH,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Total number of hospitals with alcohol and/or drug abuse inpatient care,Social Environmental Risk,3,Alcohol/Drug Abuse,41.0,7.0,0.0,0.0,5. Healthcare context,Characteristics of health care facilities,POS_TOT_HOSP_ALC,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1.0,0.0,0.0,No,No,0.6,0
"Total number of deaths from intentional self harm per 100,000 population",Social Environmental Risk,3,Alcohol/Drug Abuse,4.8,14.51,19.61,130.05,5. Healthcare context,Health Outcomes,CDCW_SELFHARM_DTH_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Total number of drug poisoning deaths per 100,000 population",Social Environmental Risk,3,Alcohol/Drug Abuse,3.73,22.0,35.16,129.57,5. Healthcare context,Health Outcomes,CDCW_DRUG_DTH_RATE,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Total number of incidents of rape, attempted rape, or sexual assault",Social Environmental Risk,3,Alcohol/Drug Abuse,0.0,3.0,35.0,1071.0,3. Education,School System,CRDC_TOT_RAPE_ASSAULT,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Prevalence of personality disorders among Medicare (dual and non-dual) beneficiaries,Social Environmental Risk,4,Personality Disorders,0.0,1.0,2.0,7.0,5. Healthcare context,Health outcomes,MMD_PERSONALITY_DISD,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
Prevalence of depressive disorders among Medicare (dual and non-dual) beneficiaries,Social Environmental Risk,4,Personality Disorders,0.0,17.0,20.0,29.0,5. Healthcare context,Health outcomes,MMD_DEPR_DISD,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Total number of people living with diagnosed HIV at the end of the year per 100,000, Native Hawaiian and Other Pacific Islander (ages 13 and over)",Disease Risk,0,HIV Occurence,0.0,0.0,926.5,3652.4,5. Healthcare context,Health outcomes,CDCAP_HIVDIAG_NHPI_RATE_ABOVE13,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Total number of people living with diagnosed HIV at the end of the year per 100,000, Hispanic (ages 13 and over)",Disease Risk,0,HIV Occurence,0.0,400.0,668.5,15940.1,5. Healthcare context,Health outcomes,CDCAP_HIVDIAG_HIS_RATE_ABOVE13,No,inf,-1.0,No,-1.0,Yes,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Total number of people living with diagnosed HIV at the end of the year per 100,000 population (ages 13 and over)",Disease Risk,0,HIV Occurence,0.0,228.7,478.5,3001.2,5. Healthcare context,Health outcomes,CDCAP_HIVDIAG_RATE_ABOVE13,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
"Total number of people living with diagnosed HIV at the end of the year per 100,000, multiple races (ages 13 and over)",Disease Risk,0,HIV Occurence,0.0,766.0,1723.3,13241.9,5. Healthcare context,Health outcomes,CDCAP_HIVDIAG_MTR_RATE_ABOVE13,No,inf,-1.0,No,-1.0,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,No,No,0.6,0
